timestamp,tracking_state,num_features,tx,ty,tz,qx,qy,qz,qw
1785942445.261416435,2,1010,-1.169469595,-0.883341610,0.011528195,-0.005738626,0.010290234,-0.228919700,0.973374009
1785942445.361180305,2,1009,-1.178178191,-0.890594721,-0.000882833,-0.002943692,0.007956104,-0.228283718,0.973557711
1785942445.484564781,2,1010,-1.184458256,-0.892741263,-0.024819888,0.002503743,0.001372843,-0.228255570,0.973597050
1785942445.561306477,2,1007,-1.191317677,-0.892193556,-0.045445424,0.006516489,-0.004888330,-0.229196221,0.973346174
1785942445.674504042,2,1008,-1.192044973,-0.885759056,-0.051703162,0.007942917,-0.007001758,-0.230966166,0.972904205
1785942445.772861958,2,1006,-1.195252061,-0.885226905,-0.035601273,0.003144850,-0.003697451,-0.232380018,0.972612977
1785942445.887529373,2,1005,-1.198013902,-0.884997010,-0.013409028,-0.002711561,0.001122045,-0.233579352,0.972333312
1785942445.962725878,2,1008,-1.205347300,-0.884482682,0.010290135,-0.007384166,0.007747414,-0.234360337,0.972090900
1785942446.062117815,2,1004,-1.209088802,-0.890452504,0.023027692,-0.011000115,0.010005403,-0.234485030,0.972006023
1785942446.172067881,2,1007,-1.214210987,-0.894450843,0.019131422,-0.009219630,0.009901139,-0.233859658,0.972176254
1785942446.277580738,2,1011,-1.218549252,-0.904447913,0.004831176,-0.006666934,0.005637737,-0.232887208,0.972464621
1785942446.375793934,2,1006,-1.226161003,-0.908819973,-0.017272934,-0.001767569,0.000197319,-0.233021498,0.972469985
1785942446.473684549,2,1005,-1.229072690,-0.904629230,-0.043873709,0.004049585,-0.006310724,-0.234858021,0.972000778
1785942446.572792053,2,1006,-1.235469222,-0.896638930,-0.044111449,0.005686767,-0.003783048,-0.236853495,0.971521378
1785942446.662630558,2,1007,-1.238455653,-0.894092917,-0.028217625,0.001847173,0.000041674,-0.238515630,0.971136928
1785942446.785588264,2,1003,-1.239673495,-0.891650081,-0.010659335,-0.002556050,0.003722070,-0.239822760,0.970806241
1785942446.862380266,2,1008,-1.245106220,-0.888451040,0.007259201,-0.005986241,0.008024079,-0.240922138,0.970492840
1785942446.985101223,2,1005,-1.247540355,-0.889674544,0.012811802,-0.007457959,0.007833894,-0.241261393,0.970399916
1785942447.061400175,2,1004,-1.252004504,-0.891571224,0.006339033,-0.006383841,0.005552324,-0.241539598,0.970354080
1785942447.162918329,2,1006,-1.256644487,-0.892946482,-0.008581003,-0.002727208,0.001448559,-0.241895169,0.970297456
1785942447.276439667,2,1004,-1.260430932,-0.895856738,-0.026712079,0.000353369,-0.003865647,-0.242906451,0.970041990
1785942447.362087488,2,1005,-1.259141445,-0.894759774,-0.036634073,0.002358078,-0.005481327,-0.244110554,0.969729066
1785942447.461699724,2,1007,-1.261108994,-0.891692877,-0.023766721,0.001654879,0.000949005,-0.245146960,0.969484091
1785942447.562055349,2,1003,-1.261347413,-0.889177799,-0.007701473,0.000159386,0.007465311,-0.246012539,0.969237924
1785942447.673837900,2,1004,-1.257211447,-0.889747858,0.001629978,-0.001427407,0.010901159,-0.246109396,0.969179690
1785942447.791246653,2,1006,-1.257719278,-0.892494917,0.007829976,-0.002922066,0.012094053,-0.246146992,0.969152629
1785942447.886717081,2,1004,-1.259213924,-0.894156277,0.003546863,-0.002332911,0.010125635,-0.246037602,0.969204605
1785942447.978638411,2,1009,-1.261077166,-0.894838750,-0.010147209,0.000100670,0.005217483,-0.246031940,0.969247699
1785942448.061992168,2,1005,-1.261203885,-0.895651340,-0.028261770,0.002165257,-0.002109000,-0.246912315,0.969033122
1785942448.161995173,2,1004,-1.257758498,-0.890272498,-0.036287285,0.003700764,-0.004174881,-0.248041943,0.968733251
1785942448.262125731,2,1009,-1.254153848,-0.894806385,-0.021257006,-0.001427237,-0.001129743,-0.248604566,0.968603373
1785942448.363772869,2,1002,-1.248841882,-0.895781934,-0.008359476,-0.004155935,0.002604681,-0.248888597,0.968519747
1785942448.461691856,2,1005,-1.245921493,-0.894891262,0.003758779,-0.005558413,0.006956662,-0.249107957,0.968434811
1785942448.561923504,2,1007,-1.243313789,-0.895212114,0.006928495,-0.005192454,0.008484302,-0.248878554,0.968483627
1785942448.662045240,2,1010,-1.240660548,-0.896148443,0.000120558,-0.002825519,0.006459054,-0.248816028,0.968525112
1785942448.763112545,2,1004,-1.237490177,-0.895885050,-0.016331200,0.001557664,0.002780780,-0.248692006,0.968577385
1785942448.873846531,2,1005,-1.232407928,-0.898317754,-0.023168260,0.002074564,0.000277249,-0.249855801,0.968280792
1785942448.963378906,2,1005,-1.227504611,-0.895003080,-0.020211924,0.002934884,0.003165466,-0.250849545,0.968016505
1785942449.074927330,2,1008,-1.222101450,-0.890767038,-0.015548301,0.003483790,0.006559974,-0.251429796,0.967847049
